Species,12S,16S,cytb,CXCR4,H3A,NCX1,POMC,RAG1,RHOD,SIA,SLC8A3,TYR
Batrachuperus.tibetanus,AY916004,AY916004,EU296381,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachuperus.yenyuanensis,AY916009,AY028734,AY593145,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachyla.antartandica,DQ864529,DQ864548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Batrachyla.leptopus,AY843572,AY843572,AY843794,NA,DQ284119,NA,NA,AY844369,AY844546,AY844774,NA,AY844028
Batrachyla.taeniata,AY156519,DQ864550,AY389147,AY948793,NA,AY948837,NA,AY948936,NA,NA,AY948899,NA
Batrachylodes.vertebralis,DQ283210,DQ283210 ,NA,NA,DQ284242,NA,NA,NA,DQ283891,DQ282753,NA,NA
Blommersia.blommersae,AY341584,AF317688,DQ235418,NA,NA,NA,NA,NA,AY341770,NA,NA,NA
Blommersia.domerguei,AY341582,AY341636,DQ235416,NA,NA,NA,NA,NA,AY341768,NA,NA,NA
Blommersia.grandisonae,AF215149,AY341640,DQ901378,NA,NA,NA,NA,NA,AY341771,NA,NA,NA
Blommersia.kely,AY341583,AY341637,DQ235417,NA,NA,NA,NA,NA,AY341769,NA,NA,NA
Blommersia.sarotra,AY341588,AY341643,DQ235420,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blommersia.wittei,AY880536,AY880490,AY341732,NA,NA,NA,NA,AY323774,AY880667,NA,NA,NA
Boehmantis.microtympanum,DQ235455,DQ235451,DQ901381,NA,NA,NA,NA,NA,DQ235445,NA,NA,NA
Bokermannohyla.astartea,AY549322,AY549322,AY843827,NA,NA,NA,AY819113,NA,NA,NA,NA,NA
Bokermannohyla.circumdata,AY549328,AY549328,AY549381,NA,NA,NA,NA,AY844409,NA,AY844817,NA,AY844064
Bokermannohyla.hylax,AY549338,AY549338,AY549391,NA,NA,NA,NA,AY844419,NA,AY844832,NA,AY844077
Bokermannohyla.martinsi,AY843641,AY843641,AY843878,NA,NA,NA,NA,NA,NA,AY844844,NA,AY844086
Bolitoglossa.adspersa,NA,AF218492,AF212984,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.altamazonica,NA,AY526117,AY526160,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.alvaradoi,NA,AY526157,AY526194,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.biseriata,NA,AY526118,AY526161,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.carri,NA,AY526139,AY526176,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.celaque,NA,AY526141,AY526178,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.cerroensis,NA,AF199233,AF199195,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.colonnea,NA,AY526119,AY526162,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.conanti,NA,AY526142,AY526179,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.decora,NA,AY526143,AY526180,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.diaphora,NA,AY526144,AY526181,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.dofleini,NA,AF218497,AF212988,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.dunni,NA,AY526145,AY526182,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.engelhardti,NA,AF218496,AF212987,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.epimela,NA,AY526120,AF212097,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.equatoriana,NA,NA,DQ353845,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.flavimembris,NA,AY526146,AY526183,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.flaviventris,NA,AF218491,AF212983,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.franklini,NA,AY526147,AY526184,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.gracilis,NA,DQ640053,AF212068,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.hartwegi,NA,AF218494,AF212985,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.helmrichi,NA,NA,AY691755,NA,NA,NA,NA,AY650124,NA,NA,NA,NA
Bolitoglossa.hermosa,NA,AF416686,AF416678,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.lignicolor,NA,AF218484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.lincolni,NA,AY526148,AY526185,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.longissima,NA,AY526149,AY526186,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.macrinii,NA,AF416689,AF416679,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.marmorea,NA,AF218493,U89627,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.medemi,NA,AY526123,AY526163,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.mexicana,NA,EF017950,AF212979,EF018000,NA,EF018025,NA,EF018055,NA,NA,EF107384,NA
Bolitoglossa.minutula,NA,AY526124,AF212098,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.mombachoensis,NA,AY133489,AY133486,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.morio,NA,AY526150,AY526187,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.oaxacensis,NA,AF416690,AF416681,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.occidentalis,NA,AY526115,AY526158,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.odonnelli,NA,AF218483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.palmata,NA,AY526126,AY526165,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.paraensis,NA,AY526129,AY526168,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.peruviana,NA,AY526131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.pesrubra,NA,EU448105,AF212084,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.platydactyla,NA,DQ640054,AY133484,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.porrasorum,NA,AY526151,AY526188,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.riletti,NA,AF416696,AF416682,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.robusta,NA,EU448109,EU448110,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.rostrata,NA,AY526153,AY526190,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.rufescens,DQ283335,DQ283335 ,AY526159,NA,DQ284326,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.schizodactyla,NA,AY526133,AY526171,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.sima,NA,AY526134,AY526172,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.sooyorum,NA,EU448108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.striatula,NA,AF218488,AF212982,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.subpalmata,NA,EU448107,AF212095,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.synoria,NA,AY526156,AY526193,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.yucatana,NA,AF218486,AF212980,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolitoglossa.zapoteca,NA,DQ640040,AF416684,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bombina.bombina,AY333663,DQ283250 ,EF212589,NA,DQ284275,NA,NA,NA,DQ283920,NA,NA,NA
Bombina.fortinuptialis,DQ925757,DQ925779,EU531279,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bombina.lichuanensis,DQ925745,DQ925766,EU531244,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bombina.maxima,DQ925758,DQ925780,EU531274,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bombina.microdeladigitora,DQ925756,DQ925778,EU531281,NA,DQ284389,NA,NA,NA,NA,DQ282865,NA,NA
Bombina.orientalis,DQ925753,DQ925775,EU531278,AY364177,NA,NA,AY692246,AY323756,NA,NA,AY948867,NA
Bombina.pachypus,NA,AY500228,EU531283,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bombina.variegata,AY333688,AY333725,EU531284,NA,DQ284274,NA,NA,AY523750,NA,NA,EF107347,NA
Boophis.albilabris,DQ283033,DQ283033,NA,NA,DQ284054,NA,NA,NA,DQ283762,NA,NA,NA
Boophis.boehmei,AY341612,DQ792471,DQ235433,NA,NA,NA,NA,NA,AY341798,NA,NA,NA
Boophis.doulioti,AY341608,AY341663,NA,NA,NA,NA,NA,AY571643,AY341792,NA,NA,NA
Boophis.goudotii,AY341611,GU205768,NA,NA,NA,NA,NA,NA,AY341797,NA,NA,NA
Boophis.idae,AY341609,AY341666,DQ901383,NA,NA,NA,NA,NA,AY341795,NA,NA,NA
Boophis.luteus,AY341614,AF261265,EF100456,NA,NA,NA,NA,NA,AY341800,NA,NA,NA
Boophis.madagascariensis,AF261248,AF261266,AB239571,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boophis.marojezensis,AY341617,AY341674,DQ235437,NA,NA,NA,NA,NA,AY341803,NA,NA,NA
Boophis.microtympanum,AY341613,AY341670,DQ901384,NA,NA,NA,NA,NA,AY341799,NA,NA,NA
Boophis.occidentalis,AY341620,AY341677,EF100457,NA,NA,NA,NA,NA,AY341806,NA,NA,NA
Boophis.pauliani,NA,EF100469,EF100458,NA,NA,NA,NA,NA,EF100482,NA,NA,NA
Boophis.rappiodes,AY341618,AY341675,DQ235438,NA,NA,NA,NA,NA,AY341804,NA,NA,NA
Boophis.sibilans,AY341615,AY341672,DQ235435,NA,NA,NA,NA,NA,AY341801,NA,NA,NA
Boophis.tephraeomystax,DQ347000,DQ283032,AF249070,NA,DQ284053,NA,NA,DQ347234,AF249105,NA,NA,NA
Boophis.viridis,AY341619,AY341676,DQ235439,NA,NA,NA,NA,NA,AY341805,NA,NA,NA
Boophis.vittatus,AY341616,AY341673,DQ235436,NA,NA,NA,NA,NA,AY341802,NA,NA,NA
Boophis.xerophilus,DQ346999,AF249038,AF249069,AY364179,NA,EF018013,NA,AY364209,NA,NA,EF107371,NA
Boulengerula.boulengeri,AY450613,AY450620,EU200987,EF107484,NA,EF107263,NA,EF107322,NA,NA,EF107425,NA
Boulengerula.taitana,AY450614,FJ711169,EU200986,NA,NA,NA,NA,DQ320062,NA,NA,NA,NA
Boulengerula.uluguruensis,DQ283087,FJ711170,NA,NA,DQ284138,NA,NA,NA,NA,DQ282670,NA,NA
Brachycephalus.ephippium,AY326008,AY326008,NA,GQ345180,NA,GQ345228,GQ345256,EU186761,DQ283806,DQ282672,GQ345326,DQ282919
Brachytarsophrys.feae,NA,AY523769,NA,NA,NA,NA,NA,AY523740,NA,NA,EF107359,NA
Brachytarsophrys.platyparietus,NA,AY526206,AY561311,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradytriton.silus,NA,DQ640058,DQ640023,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breviceps.fichus,AY787035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Breviceps.fuscus,DQ019578,AF215365,NA,NA,NA,NA,NA,EF396075,NA,NA,NA,EF395962
Breviceps.mossambicus,DQ283155,EF017947,NA,EF017965,DQ284397,EF018002,NA,EF396076,DQ284023,NA,EF107383,EF395963
Bromeliohyla.bromeliacia,AY843612,AY843612,AY843837,NA,NA,NA,DQ055788,AY844401,NA,AY844811,NA,AY844056
Bryophryne.cophites,EF493537,EF493537,NA,NA,NA,NA,NA,EF493423,NA,NA,NA,EF493508
Buergeria.buergeri,AY880478,AY880444,NC_008975,NA,NA,AY948813,NA,AY948921,AY880623,NA,AY948866,NA
Buergeria.japonica,DQ283055,AY880491,NA,NA,NA,NA,GQ285722,GQ285754,AY880624,NA,NA,NA
Buergeria.oxycephlus,NA,NA,EU924592,NA,NA,NA,GQ285726,GQ285758,EU215556,NA,NA,NA
Buergeria.robusta,U22083,AF026370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.achavali,GU178787,GU178787,GU178809,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.alvarius,AY325984,DQ283269 ,L10956,DQ306516,DQ284289,NA,AY819079,DQ158351,DQ283933,DQ282785,NA,NA
Bufo.amatolicus,AF220851,AF220898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.amboroensis,DQ283386,DQ283386 ,NA,NA,NA,NA,NA,NA,DQ284003,DQ282848,NA,NA
Bufo.americanus,FJ882827 ,DQ158426,AB159264,DQ306520,NA,FJ882676,DQ158268,DQ158352,NA,NA,NA,NA
Bufo.angusticeps,AF220852,AF220899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.arenarum,AY843573,AY843573,AY843795,DQ306529,DQ284103,NA,DQ158271,DQ158354,NA,AY844775,NA,NA
Bufo.arequipensis,DQ158430,DQ158430,NA,DQ306564,NA,NA,DQ158272,DQ158355,NA,NA,NA,NA
Bufo.arunco,DQ158442,DQ158442,NA,DQ306552,NA,NA,DQ158283,DQ158365,NA,NA,NA,NA
Bufo.asper,DQ158432,AF124109,NA,DQ306503,DQ284188,NA,DQ158273,DQ158356,DQ283848,DQ282704,NA,DQ282939
Bufo.aspinius,AF160770,AF160787,AF171198,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.atacamensis,DQ158433,DQ158433,NA,DQ306541,NA,NA,DQ158275,DQ158357,NA,NA,NA,NA
Bufo.atukoralei,FJ882835 ,FJ882835,NA,FJ882682,NA,FJ882629,NA,NA,NA,NA,NA,NA
Bufo.balearicus,NA,EU497437,NA,NA,NA,NA,NA,EU497608,NA,NA,NA,NA
Bufo.bankorensis,AB159476,AB159589,AB159260,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.baxteri,AY680207,AY680207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.beebei,EF532251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.biporcatus,AY325987,AY325987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.bocourti,AY680246,AY680246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.boreas,DQ283180,NA,L10959,DQ306499,DQ284215,FJ882678,DQ158278,DQ158360,DQ283871,NA,NA,NA
Bufo.boulengeri,NA,EU497492,NA,NA,NA,NA,NA,EU497613,NA,NA,NA,NA
Bufo.brauni,FJ882822 ,FJ882822,NA,DQ306514,NA,EF107272,DQ158279,EF107331,DQ284021,DQ282873,EF107435,DQ283011
Bufo.brevirostris,FJ882786 ,FJ882786,NA,FJ882686,NA,FJ882633,NA,NA,NA,NA,NA,NA
Bufo.brongersmai,FJ882817 ,FJ882817,NA,FJ882718,NA,FJ882663,NA,NA,NA,NA,NA,NA
Bufo.bufo,AY325988,FJ882806,AB159262,DQ306504,NA,FJ882650,DQ158280,EU497611,NA,NA,NA,NA
Bufo.calamita,FJ882809 ,FJ882809,L10964,FJ882709,NA,FJ882655,NA,EU497610,NA,NA,NA,NA
Bufo.californicus,FJ882828 ,FJ882828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.camerunensis,DQ158439,DQ158439,NA,DQ306555,DQ284345,NA,DQ158281,DQ158363,DQ283979,DQ282830,NA,NA
Bufo.campbelli,NA,AY008253,AY008254,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.canaliferus,AY680251,AY680251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.canorus,EF532005,AY680239,L10967,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.castaneoticus,DQ158440,DQ158440,NA,DQ306539,NA,NA,DQ158282,DQ158364,NA,NA,NA,NA
Bufo.celebensis,EU713068,AF375513,NA,NA,NA,NA,NA,EU712916,NA,NA,NA,NA
Bufo.chavin,DQ158441,DQ158441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.coccifer,DQ158443,DQ158443,AY929304,DQ306526,NA,NA,DQ158284,DQ158366,NA,NA,NA,NA
Bufo.cognatus,DQ158444,DQ158444,L10968,DQ306498,DQ284197,NA,DQ158285,DQ158367,NA,DQ282713,NA,NA
Bufo.coniferus,DQ158445,DQ283166 ,AY927866,DQ306534,DQ284204,NA,DQ158286,DQ158368,DQ283860,DQ282719,NA,NA
Bufo.cophotis,DQ158446,DQ158446,NA,DQ306540,NA,NA,DQ158287,DQ158369,NA,NA,NA,NA
Bufo.crocus,FJ882789 ,FJ882789,NA,FJ882690,NA,FJ882637,NA,NA,NA,NA,NA,NA
Bufo.crucifer,DQ158447,DQ158447,DQ415596,NA,NA,NA,DQ158288,NA,NA,NA,NA,NA
Bufo.cryptotympanicus,AF160771,AF160789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.cycladen,NA,AY927858,AY927865,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.damaranus,NA,AF220906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.dapsilis,DQ158448,DQ158448,NA,DQ306532,NA,NA,DQ158289,DQ158370,NA,NA,NA,NA
Bufo.debilis,DQ158449,AY680233,AY010165,DQ306507,NA,NA,DQ158290,DQ158371,NA,NA,NA,NA
Bufo.dhufarensis,FJ882837 ,FJ882837,NA,FJ882679,NA,FJ882626,NA,NA,NA,NA,NA,NA
Bufo.divergens,FJ882802 ,FJ882802,NA,FJ882701,DQ284189,FJ882648,NA,EU712818,DQ283849,DQ282705,NA,NA
Bufo.dombensis,AF220857,AF220907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.empusus,AF361695,AY028489,AY028501,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.exsul,AY325990,AY325990,L10971,DQ306550,NA,NA,DQ158291,DQ158372,NA,NA,NA,NA
Bufo.fastidiosus,AY680248,AY680248,AY008256,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.fenoulheti,AF220859,AF220908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.fowleri,DQ158451,AY680224,NA,DQ306505,NA,NA,DQ158292,DQ158373,NA,NA,NA,NA
Bufo.fustiger,AF361696,AF361697,AF361698,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.galeatus,FJ882767,FJ882768,NA,DQ306506,DQ284362,FJ882649,DQ158293,DQ158374,DQ283995,DQ282839,NA,DQ282987
Bufo.gargarizans,NC_008410,NC_008410,NC_008410,FJ882707,NA,FJ882653,NA,NA,NA,NA,NA,NA
Bufo.gariepensis,AF220853,AF220902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.garmani,FJ882823 ,FJ882823,NA,DQ306547,NA,FJ882668,DQ158294,DQ158375,NA,NA,NA,NA
Bufo.glaberrimus,DQ158455,DQ158455,NA,DQ306510,NA,NA,DQ158295,DQ158377,NA,NA,NA,NA
Bufo.gracilipes,FJ882824 ,DQ158456,NA,DQ306522,NA,FJ882669,DQ158297,DQ158378,NA,NA,NA,NA
Bufo.granulosus,FJ882774,AY028496,AY028508,DQ306557,DQ284323,FJ882673,DQ158298,DQ158380,DQ283966,NA,NA,NA
Bufo.guentheri,AY028478,AY028491,AY028503,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.gundlachi,AY028479,AY028492,AY028504,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.guttatus,DQ158459,DQ158459,NA,DQ306497,DQ284361,NA,DQ158300,DQ158381,DQ283994,NA,NA,EF364361
Bufo.gutturalis,DQ158460,DQ158460,NA,FJ882725,NA,FJ882670,DQ158301,DQ158382,DQ284035,DQ282890,NA,NA
Bufo.haematiticus,DQ158461,DQ158461,L10974,DQ306501,DQ284205,NA,DQ158277,DQ158383,DQ283861,DQ282720,NA,NA
Bufo.hemiophrys,EF532234,AY680213,NA,NA,NA,NA,GQ443070,GQ443081,NA,NA,NA,NA
Bufo.himalayanus,FJ882790 ,FJ882790,AF171191,FJ882688,NA,FJ882635,NA,NA,NA,NA,NA,NA
Bufo.hololius,FJ882781 ,FJ882781,NA,FJ882680,NA,FJ882627,NA,NA,NA,NA,NA,NA
Bufo.houstonensis,EF532236,AY680208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.ibarrai,AY680249,AY680249,AY927862,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.ictericus,DQ158462,DQ158462,GU178808,NA,NA,NA,DQ158303,DQ158384,NA,NA,NA,NA
Bufo.inyangae,AF220856,AF220904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.japonicus,AB159452,AB159565,AB159257,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.juxtasper,FJ882805 ,FJ882805,NA,DQ306542,NA,FJ882656,DQ158304,DQ158385,NA,NA,NA,NA
Bufo.kisoloensis,AY325995,AY325995,L10975,DQ306560,NA,NA,DQ158305,NA,NA,NA,NA,NA
Bufo.koynayensis,FJ882782 ,FJ882782,NA,FJ882691,NA,FJ882638,NA,NA,NA,NA,NA,NA
Bufo.latifrons,DQ283343,DQ283343 ,NA,NA,DQ284332,NA,NA,NA,DQ283970,DQ282819,NA,NA
Bufo.lemairii,AF220847,AF220895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.lemur,DQ158465,DQ158465,AY028506,DQ306513,NA,NA,DQ158306,DQ158386,NA,NA,NA,NA
Bufo.limensis,DQ158466,DQ158466,NA,DQ306509,NA,NA,DQ158307,NA,NA,NA,NA,NA
Bufo.lindneri,FJ882847 ,FJ882847,NA,NA,NA,FJ882667,NA,NA,NA,NA,NA,NA
Bufo.longinasus,AY028480,AY028493,AY028505,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.luetkenii,DQ158467,DQ158467,AY028509,DQ306565,NA,NA,DQ158308,DQ158387,NA,NA,NA,NA
Bufo.macrocristatus,AY680256,AY680256,AY008252,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.macrotis,DQ158468,FJ882803,NA,DQ306525,NA,NA,DQ158309,DQ158388,NA,NA,NA,NA
Bufo.maculatus,DQ158469,DQ158469,L10979,DQ306533,DQ284374,NA,DQ158310,DQ158389,DQ284005,DQ282850,NA,NA
Bufo.manu,DQ404394,NA,NA,NA,NA,NA,DQ404396,NA,NA,NA,NA,NA
Bufo.margaritifer,AY819331,AF375514,NA,NA,NA,GQ345223,AY819080,NA,NA,NA,GQ345321,EF364358
Bufo.marinus,AY325994,AY325994,DQ415597,DQ306544,DQ284092,NA,AF194966,DQ158393,DQ283789,NA,NA,NA
Bufo.marmoreus,AY680250,AY680250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.mauritanicus,FJ882826 ,AY680265,NA,FJ882727,NA,FJ882672,NA,NA,NA,NA,NA,NA
Bufo.mazatlanensis,AY680254,AY680254,DQ415638,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.melanochlorus,AY680255,AY680255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.melanostictus,AB331714,FJ882791,AF249082,DQ306508,DQ284324,AY948805,DQ158317,EU712821,AF249097,DQ282815,AY948851,NA
Bufo.microscaphus,AY325989,AY325989,L10978,DQ306563,NA,NA,DQ158318,DQ158395,NA,NA,NA,NA
Bufo.nasicus,DQ158477,DQ158477,NA,DQ306512,NA,NA,DQ158319,DQ158396,NA,NA,NA,NA
Bufo.nebulifer,AY325985,AY680252,DQ415628,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.nelsoni,EF532010,AY680240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.nesiotes,DQ158478,DQ158478,NA,DQ306500,NA,NA,DQ158320,DQ158397,NA,NA,NA,NA
Bufo.oblongus,AF160777,AF160796,AF171211,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.occidentalis,AY680257,AY680257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.ocellatus,DQ158479,DQ158479,NA,DQ306538,NA,NA,DQ158321,DQ158398,NA,NA,NA,NA
Bufo.pantherinus,AF220848,AF220896,AF210087,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.pardalis,AF220850,AF220897,AF210083,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.parietalis,FJ882784 ,FJ882784,NA,FJ882684,NA,FJ882631,NA,NA,NA,NA,NA,NA
Bufo.peltocephalus,AY028477,AY028490,AY028502,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.pewzowi,GQ489032,NA,NA,NA,NA,NA,NA,GU064322,NA,NA,NA,NA
Bufo.philippinicus,AF375488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.poeppigii,DQ158481,DQ158481,NA,DQ306517,NA,NA,DQ158323,DQ158400,NA,NA,NA,NA
Bufo.poweri,FJ882771,AF220882,NA,FJ882722,NA,NA,DQ158324,DQ158401,NA,NA,NA,NA
Bufo.punctatus,EF532246,DQ283160 ,DQ085753,NA,DQ284198,NA,NA,NA,DQ283855,DQ282714,NA,NA
Bufo.quercicus,DQ158484,DQ158484,NA,DQ306549,DQ284192,NA,DQ158325,DQ158403,NA,DQ282708,NA,NA
Bufo.raddei,AF160776,GU183855,AF171210,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.regularis,DQ158485,DQ158485,AY028511,DQ306523,DQ284201,NA,DQ158326,FJ227103,DQ283858,DQ282716,NA,NA
Bufo.retiformis,AY325982,AY325982,AY010166,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.robinsoni,GU183857,GU183857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.scaber,FJ882785 ,FJ882785,NA,FJ882683,NA,FJ882630,NA,NA,NA,NA,NA,NA
Bufo.schneideri,FJ882831 ,DQ158480,DQ415598,DQ306528,DQ284102,FJ882674,DQ158322,DQ158399,NA,NA,NA,NA
Bufo.siculus,NA,EU497446,NA,NA,NA,NA,NA,EU497609,NA,NA,NA,NA
Bufo.speciosus,EF532242,AY680229,L10980,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.spinulosus,DQ158487,DQ158487,NA,DQ306566,DQ284077,NA,DQ158328,DQ158405,DQ283775,DQ282658,NA,NA
Bufo.steindachneri,FJ882825 ,AY325981,NA,DQ306546,NA,FJ882671,DQ158329,DQ158406,NA,NA,NA,NA
Bufo.stejnegeri,AF218710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.stomaticus,FJ882787 ,FJ882787,AY028513,FJ882681,NA,FJ882628,NA,NA,NA,NA,NA,NA
Bufo.stuarti,FJ882788 ,FJ882788,NA,FJ882689,NA,FJ882636,NA,NA,NA,NA,NA,NA
Bufo.tacanensis,AY680258,AY680258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.taitanus,FJ882845 ,FJ882845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.taladai,AY028482,AY028495,AY028507,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bufo.terrestris,FJ882829 ,FJ882829,NA,DQ306537,DQ284196,FJ882677,DQ158330,NA,DQ283854,DQ282712,NA,NA
